Feature,Importance
original_shape_MajorAxisLength_RV_ED,0.001571920757967269
original_glcm_InverseVariance_RV_ED,0.0015351262127846566
original_firstorder_Maximum_LV_ES,0.0015277254640430143
original_shape_Maximum2DDiameterColumn_LV_ES,0.001527297926544124
original_firstorder_Skewness_MYO_ES,0.0015097463325770672
original_firstorder_TotalEnergy_LV_ES,0.0014869166817006432
original_glrlm_ShortRunLowGrayLevelEmphasis_LV_ED,0.0014803871906216223
original_glszm_ZonePercentage_LV_ES,0.0014789632738165933
original_glszm_SizeZoneNonUniformityNormalized_MYO_ED,0.0014676094677526278
original_glszm_ZoneVariance_MYO_ED,0.0014659407059641801
original_shape_Sphericity_RV_ES,0.0014425068077178252
original_glszm_LowGrayLevelZoneEmphasis_LV_ED,0.001433273815166473
original_glcm_Idmn_MYO_ES,0.0014324457237475208
original_glcm_MaximumProbability_MYO_ES,0.0014283502013905031
original_glrlm_GrayLevelNonUniformity_MYO_ES,0.001426553672316384
original_glrlm_RunLengthNonUniformity_MYO_ED,0.0014251248088546725
original_glrlm_LowGrayLevelRunEmphasis_MYO_ES,0.0014243117919821558
original_glcm_JointAverage_LV_ED,0.0014177571166207525
original_glszm_LargeAreaLowGrayLevelEmphasis_LV_ED,0.0014172595214943923
original_glcm_Idmn_LV_ED,0.0014167685979879865
original_glszm_ZoneVariance_RV_ES,0.0014120299391359717
original_gldm_DependenceEntropy_LV_ES,0.0014082604220277922
original_ngtdm_Strength_RV_ES,0.0013988638357606597
original_glrlm_LongRunEmphasis_RV_ED,0.0013892175965600478
original_gldm_DependenceVariance_LV_ED,0.0013880883609612817
original_gldm_SmallDependenceEmphasis_MYO_ES,0.0013823554317839767
original_glrlm_ShortRunEmphasis_RV_ED,0.001372312209908118
original_firstorder_RootMeanSquared_RV_ES,0.0013722018878614677
original_shape_MajorAxisLength_LV_ES,0.0013707119793406391
original_firstorder_MeanAbsoluteDeviation_RV_ES,0.0013567485017584274
original_gldm_SmallDependenceLowGrayLevelEmphasis_MYO_ED,0.0013454317897371713
original_shape_MajorAxisLength_LV_ED,0.0013354964040014116
original_shape_SurfaceArea_MYO_ES,0.0013331596361818104
original_gldm_DependenceNonUniformityNormalized_LV_ED,0.0013175368288990783
original_glszm_LargeAreaEmphasis_MYO_ED,0.0013141137881122478
original_firstorder_90Percentile_LV_ES,0.0013122602408443846
original_glcm_Idmn_RV_ED,0.001302998519733368
original_glcm_JointAverage_MYO_ED,0.0012811215685719073
original_gldm_DependenceNonUniformityNormalized_RV_ES,0.0012603217262600298
original_glcm_SumAverage_RV_ES,0.0012596725653555884
original_shape_Sphericity_RV_ED,0.0012471634868372076
original_glcm_Autocorrelation_RV_ED,0.0012355510813094358
original_glrlm_ShortRunEmphasis_MYO_ED,0.001226222845440647
original_shape_Elongation_RV_ES,0.0012227635003876534
original_glszm_LargeAreaLowGrayLevelEmphasis_RV_ED,0.0012125449037150029
original_glszm_GrayLevelNonUniformity_MYO_ES,0.001210242451736479
